Titile	Authors	Abstract	Published Year	Published Month	Journal	Volume	Issue	Pages	Accession Number	DOI	Ref	Covidence #	Study	Notes	Tags	DOI	Institute	Country
Considerations for statin therapy in patients with COVID-19	Dashti-Khavidaki, Simin; Khalili, Hossein	Abstract Current coronavirus pandemic named coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). SARS-CoV-2 is the third coronavirus outbreak during the current century after severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS) coronaviruses.1 Acute respiratory distress syndrome (ARDS) is an immunopathologic event and main cause of death following COVID-19. The main mechanism of ARDS is uncontrolled systemic inflammatory response and cytokine storm following release of proinflammatory cytokines (such as interferons (IFN), interleukines (IL), tumor necrosis factor (TNF)-Î±) and chemokines.2-3 So, some Chinese researchers proposed or used anti-inflammatory agents in the treatment regimen of patients with COVID-19.3-4	2020	NA	Pharmacotherapy: The Journal of Human Pharmacology and Drug Therapy	n/a	n/a	NA	NA	10.1002/phar.2397	45187	#42041	Dashti-Khavidaki 2020	NA	NA	10.1002/phar.2397	https://orcid.org/0000-0003-2004-7845 Professor of Clinical Pharmacy, Faculty of Pharmacy, Tehran University of Medical Sciences, Tehran, IranSearch for more papers by this author|Corresponding Author  E-mail address: khalilih@sina.tums.ac.ir  https://orcid.org/0000-0002-1590-6396 Professor of Clinical Pharmacy, Faculty of Pharmacy, Tehran University of Medical Sciences, Tehran, Iran Corresponding Author: Hossein Khalili Professor of Clinical Pharmacy, Faculty of Pharmacy, Tehran University of Medical Sciences, Tehran, Iran, P.O.Box: 1417614411 E‐mail: khalilih@sina.tums.ac.irSearch for more papers by this author|https://orcid.org/0000-0003-2004-7845 Professor of Clinical Pharmacy, Faculty of Pharmacy, Tehran University of Medical Sciences, Tehran, IranSearch for more papers by this author|Corresponding Author  E-mail address: khalilih@sina.tums.ac.ir  https://orcid.org/0000-0002-1590-6396 Professor of Clinical Pharmacy, Faculty of Pharmacy, Tehran University of Medical Sciences, Tehran, Iran Corresponding Author: Hossein Khalili Professor of Clinical Pharmacy, Faculty of Pharmacy, Tehran University of Medical Sciences, Tehran, Iran, P.O.Box: 1417614411 E‐mail: khalilih@sina.tums.ac.irSearch for more papers by this author 	('Iran', 6)
Clare Gerada: Doctors on the covid-19 front line also need to protect themselves and their colleagues	Gerada, Clare	I brought more than a fridge magnet back from my recent trip to New York. Unbeknown to me, I also brought back covid-19. I confused the initial symptoms of fatigue with jet lag. I thought that the dry cough was secondary to the effects of the cabin air. However, it was quite clear that a high temperature wasnâ€™t a symptom of jet lag, and very soon after arriving back in the UK I realised that Iâ€™d developed the illness thatâ€™s been on everyoneâ€™s mind for weeks. The NHS was still routinely testing, although in the community this was only for people who had returned from a list of countries deemed to be high risk. At that time the US was â€¦	2020	NA	BMJ	368	NA	m1121-m1121	NA	10.1136/bmj.m1121	14675	#14359	Gerada 2020	NA	* Opinion piece; Ethics, social science, economics	10.1136/bmj.m1121	Hurley Group, London	NA
Editorial 58(1)	Abernethy, Katharine	As I write, the world is gripped by news of a novel coronavirus sweeping across the planet. The epidemic is causing terrible anguish to many thousands of families and astounding economic damage in Asia. Whilst yet unconfirmed, several research results now point at the hunting, trade and consumption of pangolins as a likely source of the epidemic. Whether or not pangolins do finally prove to be at the origin of this particular virus, the research highlights that the possibility is very real. This may turn out to be a turning point for pangolin conservation, perhaps for the conservation of a great many other species. In 2015, the IUCN Species Survival Commission Pangolin Specialist Group reported concerns that the profound decline in Asian pangolins would lead to traffickers procuring supplies from Africa. The next five years saw their predictions largely fulfilled. Robust results from a range of research approaches showed first an increase in trade and value of pangolins within the West and central Africa and, more recently, growing international trafficking, with China and Vietnam as major destinations. In 2016, the CITES 17th Conference of Parties moved all African pangolin species onto Appendix 1. Not a single research paper published on pangolins in the past 5 years has suggested anything other than desperate jeopardy for all eight of the worldâ€™s species. All available researches point to increasing harvesting, with the rise ultimately driven by trade for profit. The plight of overâ€hunted pangolins has become a rallying call for conservation over the past few years. New NGO and government funding initiatives have arisen, dedicated to research for their conservation. The dramatically steep decline of the Asian species has been written about in both Science and Nature, the most widely read scientific journals of the day, in the last few years. The pangolin, alongside the elephant, is a poster species for action against the illegal wildlife trade. However, the research communityâ€™s awareness of the impending doom has not in the least stemmed the trade. This issue contains a Short Communication reporting for the first time trade in pangolins in yet another country, South Sudan. I am unsure of what the public response to the possibility that pangolins can transmit deadly viruses will be. I hope it is to leave them alone, rather than to try to eradicate them. This Journal remains committed to improving knowledge of the African ecosystems and increasingly to reporting research that shows how they are changing in the face of our actions. This issue, as each issue, makes a new and relevant contribution to that objective.	2020	NA	African Journal of Ecology	58	1	1-Jan	NA	10.1111/aje.12732	3171	#3469	Abernethy 2020	NA	* Opinion piece; Reservoir	10.1111/aje.12732	Institut de Recherche en Ecologie Tropicale, Libreville, Gabon|Institut de Recherche en Ecologie Tropicale, Libreville, Gabon	('Gabon', 2)
Novel Coronavirus (COVID-19) Epidemic: What Are the Risks for Older Patients?	Garnier-Crussard, Antoine; Forestier, Emmanuel; Gilbert, Thomas; Krolak-Salmon, Pierre	NA	2020	NA	Journal of the American Geriatrics Society	NA	NA	10.1111/jgs.16407-10.1111/jgs.16407	NA	10.1111/jgs.16407	8258	#7700	Garnier-Crussard 2020	NA	* Opinion piece; Clinical aspects, diagnosis, treatment	10.1111/jgs.16407	Institut du Vieillissement I‚ÄêVie, Hospices Civils de Lyon, Lyon, France|Institut du Vieillissement I‚ÄêVie, Hospices Civils de Lyon, Lyon, France|Institut du Vieillissement I‚ÄêVie, Hospices Civils de Lyon, Lyon, France|Institut du Vieillissement I‚ÄêVie, Hospices Civils de Lyon, Lyon, France|Institut du Vieillissement I‚ÄêVie, Hospices Civils de Lyon, Lyon, France|Institut du Vieillissement I‚ÄêVie, Hospices Civils de Lyon, Lyon, France	('France', 6)
Die Anwendung der Traditionellen Chinesischen Medizin (TCM)/Akupunktur in der Therapie und PrÃ¤vention von SARS-CoV-2-Infektionen	Fleckenstein, Johannes; FÃ¼zeki, Eszter; Banzer, Winfried	GegenwÃ¤rtig kursieren zahlreiche VorschlÃ¤ge zur potenziellen Wirksamkeit von Traditioneller Chinesischer Medizin (TCM)/Akupunktur in der Therapie von SARS-CoV-2-Infektionen und assoziierten Symptomen. Stand dieser Ãœberlegungen sind insbesondere molekularvirologische, aber auch klinische Untersuchungen aus der SARS-Epidemie 2002/2003. Ein Wirksamkeitsnachweis von chinesischen Arzneimitteln mit antiviralem Potenzial in Bezug auf SARS-CoVâ€‘2 steht grÃ¶ÃŸtenteils aus. Klinische Daten stÃ¼tzen sich nahezu ausschlieÃŸlich auf Studien vor Beginn der Coronapandemie. GegenwÃ¤rtig finden sich nur international publizierte Fallberichte sowie in China berichtete Beobachtungsstudien. Vielversprechend ist eine groÃŸe Zahl registrierter prospektiver Studien, die gegenwÃ¤rtig durchgefÃ¼hrt werden. Die Evidenzlage fÃ¼r die nichtpharmakologischen TherapiesÃ¤ulen der TCM ist sehr schwach. Auf Basis der Datenlage ist eine Kombination westlicher und TCM-MaÃŸnahmen in der westlichen Welt nur nach AusschÃ¶pfung der konventionellen MaÃŸnahmen gerechtfertigt.	2020	NA	Deutsche Zeitschrift fÃ¼r Akupunktur	NA	NA	4-Jan	NA	10.1007/s42212-020-00271-7	45214	#42128	Fleckenstein 2020	NA	NA	10.1007/s42212-020-00271-7	Institut f√ºr Komplement√§re und Integrative Medizin IKIM, Dozentur f√ºr TCM/Akupunktur, Universit√§t Bern, Freiburgstr. 46, Haus¬†4, 3010, Bern, Schweiz|Institut f√ºr Arbeits‚Äë, Sozial- und Umweltmedizin, Universit√§tsklinikum Frankfurt, Theodor-Stern-Kai 7, Haus 9B, 60590, Frankfurt¬†am Main, Deutschland	('unkt', 1)
SARS-CoV-2: What do we know so far?	Khedkar, Pratik Hemant; Patzak, Andreas	We are living in times where a viral disease has brought normal life in much of the world to a halt. Named after its causative agent, coronavirus disease 2019 (COVID-19) is caused by a novel coronavirus recently renamed as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). COVID-19 manifests as dry cough, frequent fevers and in severe cases pneumonia. Older patients and patients with underlying comorbidities are at a higher risk of death. We are living in times where a viral disease has brought normal life in much of the world to a halt. Named after its causative agent, coronavirus disease 2019 (COVID-19) is caused by a novel coronavirus recently renamed as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). COVID-19 manifests as dry cough, frequent fevers and in severe cases pneumonia.	2020	NA	Acta physiologica (Oxford, England)	NA	NA	e13470-e13470	NA	10.1111/apha.13470	17769	#18146	Khedkar 2020	NA	* Opinion piece	10.1111/apha.13470	Institut f√ºr Vegetative Physiologie, Charit√© ‚Äì Universit√§tsmedizin Berlin, corporate member of the Freie Universit√§t Berlin, Humboldt Universit√§t zu Berlin and the Berlin Institute of Health, Berlin, Germany|Institut f√ºr Vegetative Physiologie, Charit√© ‚Äì Universit√§tsmedizin Berlin, corporate member of the Freie Universit√§t Berlin, Humboldt Universit√§t zu Berlin and the Berlin Institute of Health, Berlin, Germany|Institut f√ºr Vegetative Physiologie, Charit√© ‚Äì Universit√§tsmedizin Berlin, corporate member of the Freie Universit√§t Berlin, Humboldt Universit√§t zu Berlin and the Berlin Institute of Health, Berlin, Germany|Institut f√ºr Vegetative Physiologie, Charit√© ‚Äì Universit√§tsmedizin Berlin, corporate member of the Freie Universit√§t Berlin, Humboldt Universit√§t zu Berlin and the Berlin Institute of Health, Berlin, Germany	('Germany', 4)
Letter to the editor: Plenty of coronaviruses but no SARS-CoV-2	Colson, Philippe; Scola, Bernard La; Esteves-Vieira, Vera; Ninove, Laetitia; Zandotti, Christine; Jimeno, Marie-ThÃ©rÃ¨se; Gazin, CÃ©line; Bedotto, Marielle; Filosa, VÃ©ronique; Giraud-Gatineau, Audrey; Chaudet, HervÃ©; Brouqui, Philippe; Lagier, Jean-Christophe; Raoult, Didier	NA	2020	NA	Eurosurveillance	NA	NA	2000171	NA	doi:https://doi.org/10.2807/1560-7917.ES.2020.25.8.2000171	2241	#2657	Colson 2020	NA	* Opinion piece; Epidemiology	doi:10.2807/1560-7917.ES.2020.25.8.2000171	Institut Hospitalo-Universitaire (IHU) M√©diterran√©e Infection, Marseille, France	('France', 1)
Maternity protection-also during the corona crisis TT - Mutterschutz - auch im Zeitalter der Coronakrise	Michels, Guido; Ochmann, Uta; Cranen, Rita	Pregnant employees should be protected, particularly in crisis situations. The Maternity Protection Act states that employees are not allowed to have contact with infectious people, including people with SARS-CoV-2 infections; no new regulation is required here.	2020	NA	Medizinische Klinik, Intensivmedizin und Notfallmedizin	NA	NA	NA	NA	10.1007/s00063-020-00677-0	19297	#19515	Michels 2020	NA	* Opinion piece; Ethics, social science, economics; Infection prevention and control	10.1007/s00063-020-00677-0	Institut und Poliklinik f√ºr Arbeits‚Äë, Sozial- und Umweltmedizin, Stabsstelle Betriebs√§rztlicher Dienst, LMU Klinikum, M√ºnchen, Deutschland	('U Kl', 1)
[Maternity protection-also during the corona crisis]	Michels, Guido; Ochmann, Uta; Cranen, Rita	Pregnant employees should be protected, particularly in crisis situations. The Maternity Protection Act states that employees are not allowed to have contact with infectious people, including people with SARS-CoV-2 infections; no new regulation is required here.	2020	NA	Medizinische Klinik, Intensivmedizin und Notfallmedizin	NA	NA	NA	NA	10.1007/s00063-020-00677-0	17655	#17888	Michels 2020	NA	* Opinion piece; Clinical aspects, diagnosis, treatment	10.1007/s00063-020-00677-0	Institut und Poliklinik f√ºr Arbeits‚Äë, Sozial- und Umweltmedizin, Stabsstelle Betriebs√§rztlicher Dienst, LMU Klinikum, M√ºnchen, Deutschland	('U Kl', 1)
Transcriptomic characteristics of bronchoalveolar lavage fluid and peripheral blood mononuclear cells in COVID-19 patients	Xiong, Yong; Liu, Yuan; Cao, Liu; Wang, Dehe; Guo, Ming; Jiang, Ao; Guo, Dong; Hu, Wenjia; Yang, Jiayi; Tang, Zhidong; Wu, Honglong; Lin, Yongquan; Zhang, Meiyuan; Zhang, Qi; Shi, Mang; Liu, Yingle; Zhou, Yu; Lan, Ke; Chen, Yu	Circulating in China and 158 other countries and areas, the ongoing COVID-19 outbreak has caused devastating mortality and posed a great threat to public health. However, efforts to identify effectively supportive therapeutic drugs and treatments has been hampered by our limited understanding of host immune response for this fatal disease. To characterize the transcriptional signatures of host inflammatory response to SARS-CoV-2 (HCoV-19) infection, we carried out transcriptome sequencing of the RNAs isolated from the bronchoalveolar lavage fluid (BALF) and peripheral blood mononuclear cells (PBMC) specimens of COVID-19 patients. Our results reveal distinct host inflammatory cytokine profiles to SARS-CoV-2 infection in patients, and highlight the association between COVID-19 pathogenesis and excessive cytokine release such as CCL2/MCP-1, CXCL10/IP-10, CCL3/MIP-1A, and CCL4/MIP1B. Furthermore, SARS-CoV-2 induced activation of apoptosis and P53 signalling pathway in lymphocytes may be the cause of patients' lymphopenia. The transcriptome dataset of COVID-19 patients would be a valuable resource for clinical guidance on anti-inflammatory medication and understanding the molecular mechansims of host response.	2020	NA	Emerg Microbes Infect	NA	NA	NA	32228226	10.1080/22221751.2020.1747363	27295	#29222	Xiong 2020	NA	NA	10.1080/22221751.2020.1747363	Institute B. Picard Toolkit. (	NA
Seattleâ€™s covid-19 lessons are yielding hope	Nelson, Bryn	The far north western corner of the continental US was hit early and hard. Bryn Nelson reports that the region now appears to be successfully climbing its way out of the epidemic Everything changed in Seattle on 28 February 2020. The metropolitan region of about 3.5 million people in Washington State had already documented the first US case of covid-19 on 20 January in a 35 year old man who had visited his family in Wuhan, China. The patient tested positive for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and was immediately hospitalised in an isolation unit at Providence Regional Medical Center in Everett, Washington.1 After treatment with remdesivir, the man was released on 3 February. Tracing and monitoring (but not testing) of nearly 70 potential contacts didnâ€™t turn up any signs of covid-19, and state health officials breathed a wary sigh of relief. On 28 February the discovery of two new presumptive cases was announced. The first, a woman in her 50s, had recently returned from South Korea.2 The second, a high school student from a suburb north of Seattle, was identified serendipitously through a research project called the Seattle Flu Study that had shifted course to test for coronavirus.3 The student had no known links to other cases, making him the first apparent case of community covid-19 transmission in the US. The same day, officials at EvergreenHealth hospital in Kirkland, a suburb east of Seattle, dropped another bombshell. The hospitalâ€™s infection control team had grown suspicious of two cases in the intensive care unit and sent swab samples to the state laboratory. Ettore Palazzo, â€¦	2020	NA	BMJ	369	NA	m1389-m1389	NA	10.1136/bmj.m1389	34260	#35129	Nelson 2020	NA	NA	10.1136/bmj.m1389	Institute for Disease Modeling. Working paper: model based estimates of covid-19 burden in King and Snohomish counties through April 7 2020. 10 March 2020. |Institute for Disease Modeling. Understanding the impact of covid-19 policy change in the greater Seattle area using mobility data. 29 March 2020. |Institute for Disease Modeling|University Hospitals of Leicester NHS Trust: Consultant in Palliative Care|University Hospitals of Leicester NHS Trust: Consultant in Palliative Care Medicine	NA
Budgeting for covid-19: changing the narrative and narrating the change	Cowper, Andy	The UK governmentâ€™s plan for dealing with covid-19 has now moved from the â€œcontainâ€ phase to the â€œdelayâ€ stage.1 This is just a recognition of reality. The World Health Organization has confirmed that the outbreak is now a pandemic,2 and the spread of disease is moving as expected.3 The move to the â€œdelayâ€ phase raises the question of what an effective UK reaction to pandemic covid-19 is going to look like, other than to buy us some preparation time. ITVâ€™s political editor Robert Peston has a close working relationship with sources inside Boris Johnsonâ€™s government, and his latest blog outlines the governmentâ€™s â€œherd immunityâ€ strategy.4 It is worth quoting: â€œThe strategy of the British government in minimising the impact . . . is to allow the virus to pass through the entire population so that we acquire herd immunity, but at a much delayed speed so that those who suffer the most acute symptoms are able to receive the medical support they need, and such that the â€¦	2020	NA	BMJ	368	NA	m1053-m1053	NA	10.1136/bmj.m1053	8833	#8367	Cowper 2020	NA	* Opinion piece; Ethics, social science, economics	10.1136/bmj.m1053	Institute for Fiscal Studies. Spring Budget 2020: IFS analysis event. 12 Mar 2020. |University Hospitals of Leicester NHS Trust: Consultant in Palliative Care|University Hospitals of Leicester NHS Trust: Consultant in Palliative Care Medicine	NA
2019 Novel Coronavirus (COVID-19) Pandemic: Built Environment Considerations To Reduce Transmission	Dietz, Leslie; Horve, Patrick F.; Coil, David A.; Fretz, Mark; Eisen, Jonathan A.; Van Den Wymelenberg, Kevin	<p>With the rapid spread of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) that results in coronavirus disease 2019 (COVID-19), corporate entities, federal, state, county, and city governments, universities, school districts, places of worship, prisons, health care facilities, assisted living organizations, daycares, homeowners, and other building owners and occupants have an opportunity to reduce the potential for transmission through built environment (BE)-mediated pathways. Over the last decade, substantial research into the presence, abundance, diversity, function, and transmission of microbes in the BE has taken place and revealed common pathogen exchange pathways and mechanisms. In this paper, we synthesize this microbiology of the BE research and the known information about SARS-CoV-2 to provide actionable and achievable guidance to BE decision makers, building operators, and all indoor occupants attempting to minimize infectious disease transmission through environmentally mediated pathways. We believe this information is useful to corporate and public administrators and individuals responsible for building operations and environmental services in their decision-making process about the degree and duration of social-distancing measures during viral epidemics and pandemics.</p>	2020	NA	mSystems	5	2	NA	NA	10.1128/mSystems.00245-20	37732	#38345	Dietz 2020	NA	NA	10.1128/mSystems.00245-20	Institute for Health and the Built Environment, University of Oregon, Portland, Oregon, USA|Department of Evolution and Ecology, University of California‚ÄîDavis, Davis, California, USA|Department of Medical Microbiology and Immunology, University of California‚ÄîDavis, Davis, California, USA|Institute for Health and the Built Environment, University of Oregon, Portland, Oregon, USA|University of California San Diego|Institute of Environmental Sciences and Technology|Institute of Environmental Sciences and Technology	('USA', 4)
Coronaviruses in animals and humans	Ng, Lisa F. P.; Hiscox, Julian A.	Controlling outbreaks will require detailed knowledge of their biology and behaviourCoronaviruses have been around for many years and were first discovered in the 1960s. They include viruses contributing to the common cold (HCoV-229E) and a variety of animal and avian coronaviruses, such as infectious bronchitis virus (IBV), which infects poultry. Coronaviruses typically cause respiratory or gastrointestinal illness, but strains of IBV have been shown to target the oviduct in chickens, and others can cause severe kidney disease.Animal and avian coronaviruses can have high mortality rates among infected animals and illustrate the difficulties in developing vaccines. Similar to influenza viruses, despite many decades of research there is no vaccine that protects against all strains of IBV coronavirus. This is due in part to the continuously shifting diversity in the virus spike glycoprotein, a major immunogenic target and hence a good vaccine candidate for animal and human infections.During the mid-1990s these viruses were described as the backwater of virology, since none caused serious disease in humans. However, this changed in 2002-03 with â€¦	2020	NA	BMJ	368	NA	m634	NA	10.1136/bmj.m634	60	#1281	Ng 2020	NA	* Opinion piece; Infection prevention and control	10.1136/bmj.m634	Institute for Infection and Global Health, University of Liverpool, UK|University Hospitals of Leicester NHS Trust: Consultant in Palliative Care|University Hospitals of Leicester NHS Trust: Consultant in Palliative Care Medicine	('UK', 1)
Europeâ€™s migrant containment policies threaten the response to covid-19	Hargreaves, Sally; Kumar, Bernadette N.; McKee, Martin; Jones, Lucy; Veizis, Apostolos	Policy makers must include migrant camps in their national plans The world has watched the growing global health crisis caused by covid-19 with alarm, fear, and desperation. One after another, governments, healthcare systems, and individuals are adopting increasingly restrictive measures, with â€œsocial distancingâ€ now the norm in most countries. Yet for many people, and especially migrants who have been displaced from their homes, this is not possible. Several tens of thousands of people are living in migrant camps around the Mediterranean. These are often run well beyond capacity and in suboptimal conditions, including lack of basic infrastructure or hygiene, making them a high risk environment for coronavirus spread. MÃ©decins Sans FrontiÃ¨res (MSF) has called on the Greek government to immediately evacuate its camps, particularly older people and those with chronic diseases, so far without response.1 People held in immigration detention centres are also affected. Demands from 10 refugee and detention charities for UK detainees to be released on public health grounds have been ignored.2 And there are thousands of migrants forcibly detained along the north African coast, intercepted en route to Europe, living in appalling conditions and lacking food, â€¦	2020	NA	BMJ	368	NA	m1213-m1213	NA	10.1136/bmj.m1213	16609	#15930	Hargreaves 2020	NA	* Opinion piece; Ethics, social science, economics	10.1136/bmj.m1213	Institute for Infection and Immunity, St George‚Äôs University of London, London, UK|University Hospitals of Leicester NHS Trust: Consultant in Palliative Care|University Hospitals of Leicester NHS Trust: Consultant in Palliative Care Medicine	('UK', 1)
Taking back vacant property	Noterman, Elsa	NA	2020	NA	Urban Geography	NA	NA	20-Jan	NA	10.1080/02723638.2020.1743519	16733	#15514	Noterman 2020	NA	NA	10.1080/02723638.2020.1743519	Institute for Justice|University of Minnesota Press|University of Minnesota Press|University of Minnesota Press|University of Minnesota press|University of Toronto Press|University of Minnesota Press|University of Georgia Press	('Georgia', 1)
Breastfeeding and Coronavirus Disease-2019. Ad interim indications of the Italian Society of Neonatology endorsed by the Union of European Neonatal & Perinatal Societies	Davanzo, Riccardo; Moro, Guido; Sandri, Fabrizio; Agosti, Massimo; Moretti, Corrado; Mosca, Fabio	The recent COVID-19 pandemic has spread to Italy with heavy consequences on public health and economics. Besides the possible consequences of COVID-19 infection on a pregnant woman and the fetus, a major concern is related to the potential effect on neonatal outcome, the appropriate management of the mother-newborn dyad and finally the compatibility of maternal COVID-19 infection with breastfeeding. The Italian Society on Neonatology (SIN) after reviewing the limited scientific knowledge on the compatibility of breastfeeding in the COVID-19 mother and the available statements from Health Care Organizations, has issued the following indications that have been endorsed by the Union of European Neonatal & Perinatal Societies (UENPS). If a mother previously identified as COVID-19 positive or under investigation for COVID-19 is asymptomatic or paucisymptomatic at delivery, rooming-in is feasible and direct breastfeeding is advisable, under strict measures of infection control. On the contrary, when a mother with COVID-19 is too sick to care for the newborn, the neonate will be managed separately and fed fresh expressed breast milk, with no need to pasteurize it, as human milk is not believed to be a vehicle of COVID-19. We recognize that this guidance might be subject to change in the future when further knowledge will be acquired about the COVID-19 pandemic, the perinatal transmission of SARS-CoV-2 and clinical characteristics of cases of neonatal COVID-19.	2020	NA	Maternal & child nutrition	NA	NA	e13010-e13010	NA	10.1111/mcn.13010	31036	#31637	Davanzo 2020	NA	NA	10.1111/mcn.13010	Institute for Maternal and Child Health, IRCCS ‚ÄúBurlo Garofolo‚Äù, Trieste|Institute for Maternal and Child Health, IRCCS ‚ÄúBurlo Garofolo‚Äù, Trieste	NA
Breast feeding at the time of COVID-19: do not forget expressed motherâ€™s milk, please	Davanzo, Riccardo	NA	2020	NA	Archives of Disease in Childhood - Fetal and Neonatal Edition	NA	NA	fetalneonatal-2020-319149	NA	10.1136/archdischild-2020-319149	37796	#38750	Davanzo 2020	NA	NA	10.1136/archdischild-2020-319149	Institute for Maternal and Child Health, IRCCS "Burlo Garofolo"	NA
Machine Learning, COVID-19 (2019-nCoV), and multi-OMICS	TÃ¡rnok, Attila	The primary plan of my editorial for this month was to highlight and comment on the special issue of this month: â€œMachine Learning for Single Cell Dataâ€. I wish to emphasize and thank the Guest Editors of this special issue, Yvan Saeys and Greg Finak, for their outstanding success and hard work to assemble excellent manuscripts for this issue. I am referring to their guest editorial giving you more details on aims and scopes and elaborating on specific articles. I started drafting this editorial while attending the annual Photonics West conference in San Francisco, presumably the largest showcase on photonics technologies and instrumentation. Scientifically, the subâ€conference BIOS demonstrated the broadness and vividness of photonics technologies in life sciences and particularly in single cell analysis. When searching for relevant literature for this editorial, I was also tracking the actual global developments. This brought me to change my focus and comment on some issues that are relevant to our field and somewhat related to that of the special issue. First of all, Nature Methods announced their Method of the Year 2019 1. It is: â€œSingleâ€cell multimodal omicsâ€ and acknowledges (among others) the important contribution of highly multiplexed flow cytometry and cell sorting to the increased understanding of single cell biology and cell systems. This is motivating and confirms that cytometry is receiving the focus of attention. Concurrently, in the last weeks the relevance of the recent COVIDâ€19 (2019â€nCoV) outbreak and its effects started to become evident as everybody was monitoring the number of cases registered globally 2. As conference chairs, we were facing the fact that many of our speakers and colleagues became unavailable. Not only that, but the eeriness of the infection (it is transmissible already during its asymptomatic latency period of up to two weeks, recent results indicate even longer) gave many attendees an uneasy feeling. This brings me to two points worth discussing. (a) Are large scale conferences with global attendance still state of the art or should they be rethought; and (b) to what extent can cytometry support global efforts in various fields of epidemic outbreaks of infectious diseases? In the past one to two decades the world faced several outbreaks of different viral infections that were luckily not as disastrous as initially anticipated but still claimed victims. These were coronaviruses such as the Severe Acute Respiratory Syndrome coronavirus (SARSâ€CoV) in 2002/2003, the Middle East Respiratory Syndrome coronavirus (MERSâ€CoV) with occasional outbreaks since 2012 or influenza viruses like the H1N1 pandemic in 2009/2010. It is only a matter of time until other pandemics follow. Global travel for work and leisure supports viral spread and can transport the infection to nearly all places of the globe within days. Global conferences contribute to such a rapid spread and one should reconsider this model of scientific exchange from time to time and scrutinize potential alternatives. Models for sustainable international conferences are under testing and combine venues in close proximity to institutions with a substantial expertise on the focus area of the conference with virtual participation and contribution by internet for participants on more distant places. Although personal meetings are essential for optimal information exchange, a reduction in travel would not only reduce the risk of dissemination of disease but, as a side effect, could result in budgetary savings, reduce travelâ€related emissions (in the wake of Greta), and eliminate jetlag. Now, what can Cytometry do for help in pandemics? Cytometry has already supported several achievements as a quick and nonâ€representative literature search shows. Image cytometry methods 3 and beadâ€based flow cytometry methods 4 are at hand to enable for screening and detecting antibody virus interactions and detect viral antigens. Airway memory Tâ€cells and viral E protein mutations have been identified in CoV infections a potential targets for vaccine strategies 5, 6. Immune responses seem to be indicative of disease severity 6, 7 but more studies are needed to have a practical assay for decision making at hand. In fact, easy to use and rapid assays derived from Cytomics or multiâ€OMICS approaches are needed to rapidly distinguish severe from mild cases and identify future critically ill individuals before symptom onset. Such a test would clearly take the pressure off of the clinicians because only those with high probability to becoming critically ill would receive intensive care early. Hopefully we will see more related studies in this journal in the near future.	2020	NA	Cytometry Part A	97	3	215-216	NA	10.1002/cyto.a.23990	5020	#5479	TÃ¡rnok 2020	NA	* Opinion piece	10.1002/cyto.a.23990	Institute for Medical Informatics, Statistics and Epidemiology (IMISE), University of Leipzig, Leipzig, Germany|Institute for Medical Informatics, Statistics and Epidemiology (IMISE), University of Leipzig, Leipzig, Germany	('Germany', 2)
Health surveillance during covid-19 pandemic	Calvo, Rafael A.; Deterding, Sebastian; Ryan, Richard M.	How to safeguard autonomy and why it mattersSocieties are responding to the covid-19 pandemic at breathtaking speed. Many of these ad hoc responses will have long lasting consequences, and we must make sure that todayâ€™s efforts do not threaten our future wellbeing.The most consequential transformations may come from new health surveillance technologies that use machine learning and automated decision making to parse peopleâ€™s digital footprints, identify those who are potentially infected, trace their contacts, and enforce social distancing. Some have argued that such digital contact tracing could be more effective in controlling the epidemic than mass quarantine.1The Israeli government, for example, authorised the repurposing of an anti-terror phone tracking programme, trawling the location histories of its whole population to monitor and enforce self-isolation of people who tested positive. Israelâ€™s health ministry has since launched a mobile app allowing citizens to check whether they have crossed paths with anyone infected and need to self-isolate.2In China, two big providers of mobile payment â€¦	2020	NA	BMJ	369	NA	m1373-m1373	NA	10.1136/bmj.m1373	34262	#35041	Calvo 2020	NA	NA	10.1136/bmj.m1373	Institute for Positive Psychology and Education, Australian Catholic University, Sydney, Australia|University Hospitals of Leicester NHS Trust: Consultant in Palliative Care|University Hospitals of Leicester NHS Trust: Consultant in Palliative Care Medicine	('Australia', 2)
